molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL206649,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(O)cc21,680.0,active
CHEMBL383427,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(-n3cncn3)cc21,760.0,active
CHEMBL439337,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(-n3ccnn3)cc21,650.0,active
CHEMBL203236,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)N(C)C)cc21,2700.0,intermediate
CHEMBL203776,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NC)cc21,1250.0,intermediate
CHEMBL382673,CN[C@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,11.0,active
CHEMBL203331,CN[C@@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,310.0,active
CHEMBL427215,COc1ccc([C@H](CN(C)C)[Si]2(O)CCCCC2)cc1,200.0,active
CHEMBL2371923,C[C@@H](O)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)Cc1ccc(-c2ccc(C[C@H](N)C(=O)O)cc2)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,25000.0,inactive
CHEMBL374492,CC(c1ccc(-c2ccc(C[C@H](N)C(=O)O)cc2)cc1)[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCC(=O)O)[C@@H](C)OCc1ccccc1)[C@@H](C)O,90000.0,inactive
CHEMBL379496,C[C@@H](O)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)Cc1ccc(-c2ccc(C[C@H](N)C(=O)O)cc2)cc1)[C@@H](C)O)C(=O)O,1000000.0,inactive
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,900.0,active
CHEMBL380056,CN1CCCCCCCCCC(=O)OCC2C(CC3CCC2N3C)c2ccc1cc2,2130.0,intermediate
